age,class_of_worker,education,marital_status,occupation,place_of_birth,relationship,hours_per_week,sex,race,income_above_50k
63,2,9,1,3054,77,0,57,1,1,0
58,1,16,1,5772,50,0,33,2,1,0
78,4,23,1,333,29,0,42,1,1,1
26,1,22,5,2518,68,7,34,2,2,0
34,1,18,1,2718,77,15,40,1,1,0
58,3,21,1,3006,10,2,36,1,1,0
54,1,19,1,6421,13,0,37,2,1,0
40,3,18,1,6280,84,0,36,2,1,0
44,1,22,5,711,3,0,27,2,1,1
26,1,20,3,2891,248,0,31,2,6,0
66,3,19,1,1543,8,0,24,2,1,0
63,1,22,1,57,105,0,14,2,1,0
23,1,13,5,2556,34,0,47,1,2,0
48,1,21,3,5093,6,0,48,2,1,1
45,1,19,1,185,118,0,34,1,1,1
37,1,18,1,4804,316,0,34,1,8,0
39,1,16,1,3841,109,0,63,2,2,0
32,1,17,3,6902,24,0,16,1,2,0
32,1,17,5,7485,23,0,42,1,1,0
56,1,16,3,2791,56,0,46,2,1,0
44,1,19,3,2152,58,0,32,2,1,1
82,6,19,4,3929,22,0,38,1,1,0
25,1,19,5,4032,172,1,22,2,1,0
60,1,21,1,759,2,0,62,1,1,1
49,1,15,5,5584,74,0,28,2,8,0
69,1,19,1,8604,8,0,63,1,2,1
77,1,20,1,2924,44,0,32,2,1,0
44,1,13,1,2575,49,1,31,1,1,0
62,1,17,1,1884,56,0,66,2,2,0
39,3,22,5,4671,52,0,30,2,1,1
40,1,24,5,5972,157,0,5,2,1,0
54,5,21,1,6112,1,0,38,1,1,0
51,3,18,1,7581,181,0,59,1,1,1
39,1,20,3,7425,20,16,49,2,2,0
56,1,19,1,6721,173,15,42,1,1,1
25,1,16,1,1713,39,0,49,1,1,1
25,2,19,3,914,6,2,17,1,2,0
47,1,19,1,9158,116,0,62,1,1,0
28,1,22,1,2516,10,2,64,2,1,0
20,1,18,5,7031,5,15,39,1,1,1
40,4,15,5,4438,50,0,48,1,1,0
38,8,17,1,1367,176,0,25,1,1,0
50,4,21,1,5501,45,0,57,1,1,0
31,6,22,3,2223,3,1,22,1,1,0
33,1,19,1,3714,82,0,45,1,1,0
50,1,23,1,548,16,0,60,1,1,1
17,1,15,5,2046,82,1,31,1,1,0
36,1,19,5,877,15,0,24,2,1,0
26,1,21,3,5759,8,0,46,2,1,0
37,3,11,5,8664,56,17,42,1,1,0
30,1,17,5,5728,2,0,28,1,9,1
70,1,20,1,6195,45,0,43,1,1,1
45,1,20,5,1557,10,0,17,1,2,0
50,1,17,5,2526,82,0,6,2,1,0
56,1,14,1,5864,10,0,33,1,1,0
76,3,19,1,765,11,0,38,2,1,1
44,1,17,1,6181,444,0,30,1,1,0
23,6,21,5,226,29,0,34,1,2,0
60,2,12,1,3042,94,0,26,1,1,1
27,6,21,5,1559,1,0,39,2,1,1
50,1,18,1,6758,138,0,47,2,1,1
38,1,16,1,2763,7,0,21,1,6,1
22,1,18,1,5622,92,15,29,2,8,0
36,1,18,5,6242,1,0,64,1,1,0
53,7,21,1,1593,12,0,39,1,1,1
28,4,17,1,5324,432,1,49,1,1,1
38,1,19,1,1928,89,0,35,2,1,0
28,1,16,5,7626,297,0,30,2,1,0
28,1,16,1,5465,36,11,21,2,1,0
49,2,14,5,3548,57,0,36,2,1,0
42,1,12,1,6610,53,15,42,1,1,0
38,1,19,1,2944,121,0,23,2,1,1
26,6,18,1,5325,71,0,42,1,1,0
60,2,19,4,2055,48,0,27,1,6,0
89,1,21,1,8200,32,0,45,1,1,0
29,1,18,1,1362,2,0,43,2,1,1
77,3,22,1,4753,46,0,15,1,1,0
60,6,21,5,5198,32,1,56,2,1,1
29,6,20,5,879,18,8,66,2,1,1
31,1,14,5,9780,1,14,38,1,1,0
42,6,19,1,602,13,0,39,1,2,1
23,5,19,3,1847,53,0,44,1,2,0
55,4,23,1,6236,130,0,36,2,2,0
55,2,20,1,6452,164,10,32,1,2,0
42,7,23,1,876,43,0,17,1,1,1
52,4,21,5,332,121,3,30,2,1,0
32,6,21,5,1557,97,0,45,1,9,0
28,3,23,5,5391,101,0,10,1,1,0
46,1,16,1,4408,19,5,34,1,1,1
67,1,21,1,7664,92,0,31,2,1,1
31,1,18,5,2703,73,0,53,1,1,0
30,1,21,5,77,208,0,39,1,2,1
59,1,15,1,5767,126,0,49,2,2,1
30,1,18,3,1890,2,0,48,1,2,0
30,7,22,5,3680,2,1,28,2,1,0
35,1,22,1,596,191,0,13,2,1,0
55,1,18,4,8807,2,0,50,2,1,1
48,1,18,4,3205,249,14,55,2,1,1
30,1,16,3,3489,4,0,39,1,1,0
26,1,10,5,6403,11,0,33,2,1,0
75,1,22,1,826,252,0,37,2,2,1
24,1,16,5,1834,33,16,21,1,1,0
28,1,17,5,1298,229,5,16,1,1,0
46,1,17,3,7238,56,0,44,2,1,0
20,1,17,1,2245,11,17,44,2,1,0
33,1,17,5,2546,12,6,47,1,1,1
23,1,18,5,1887,162,0,41,1,1,0
32,1,22,1,628,22,0,51,2,1,1
72,1,21,2,5258,29,0,33,2,1,1
52,1,16,1,1086,20,0,54,1,1,0
47,3,19,1,2858,102,0,40,1,1,1
48,1,16,3,7298,21,1,39,2,1,1
50,3,23,1,3479,2,0,26,2,1,0
42,1,22,1,1927,23,0,25,2,1,0
44,1,19,1,3937,132,1,38,1,2,0
26,3,20,1,7650,39,1,21,2,1,0
59,1,19,3,1774,34,0,30,2,1,0
33,1,21,3,3259,28,0,27,2,1,0
34,6,20,3,176,11,0,39,1,1,0
29,1,16,1,2590,14,0,45,2,1,0
61,3,21,1,1806,2,16,32,2,1,0
28,1,19,1,3330,69,0,41,1,1,0
56,1,20,1,3162,125,0,49,1,1,0
28,1,15,5,5347,42,16,13,2,1,1
21,1,11,1,5865,75,0,30,1,6,0
31,1,20,1,7167,128,0,46,1,1,1
31,1,14,1,5573,138,0,30,2,1,0
71,1,14,1,9185,44,0,54,1,1,0
45,1,19,1,2952,146,0,46,1,1,1
53,1,22,3,555,65,16,46,1,1,1
29,1,21,1,4602,161,0,21,2,1,0
60,1,22,1,872,37,0,17,2,1,0
36,4,18,3,1459,47,0,57,1,1,1
28,1,20,1,91,45,0,31,2,1,0
28,1,16,1,4417,89,2,35,1,1,1
63,3,20,3,5482,65,1,59,1,1,0
47,8,21,2,8399,1,0,38,1,1,0
46,3,17,5,9191,245,0,37,2,1,0
35,1,18,1,7874,3,2,36,2,1,0
48,4,17,5,5613,1,0,40,2,1,0
32,1,13,5,3363,14,0,32,1,1,0
21,1,20,5,4270,6,0,36,2,1,1
31,4,21,5,3012,336,0,38,1,8,1
24,1,21,5,4204,29,14,51,2,8,1
34,7,16,3,1728,57,5,46,2,1,0
35,1,17,1,1337,234,0,31,2,1,0
36,6,22,1,90,57,0,39,2,1,1
32,1,22,1,3960,10,0,39,2,1,1
30,5,16,5,3405,84,14,37,2,1,0
47,1,19,1,7679,10,0,33,2,1,0
43,1,20,5,1172,13,0,42,1,1,1
38,1,21,1,2440,50,1,52,2,1,0
61,7,19,1,1139,79,4,31,2,1,1
68,1,18,1,45,33,1,47,2,1,1
26,1,22,1,5792,37,0,30,2,2,1
61,1,18,1,427,194,0,31,1,2,1
55,1,19,1,5321,12,0,42,1,1,0
24,1,20,5,1587,59,6,44,2,2,0
22,2,19,5,7894,8,0,10,1,1,0
29,6,20,5,6095,39,0,26,2,1,0
75,6,17,1,554,29,0,61,2,1,0
32,2,19,5,243,48,0,35,2,2,0
24,1,23,1,144,5,0,27,1,1,1
69,1,20,1,443,24,0,38,2,1,1
29,1,18,5,5586,3,6,22,2,1,0
68,1,21,1,5197,8,0,39,1,1,1
40,1,23,1,1741,57,0,27,2,1,0
39,1,19,1,7253,14,0,24,2,6,1
64,1,19,5,819,212,0,31,2,1,1
25,1,23,5,1451,7,3,33,2,1,0
63,5,20,1,7742,23,0,63,1,1,1
33,1,14,3,6365,10,0,35,1,1,0
49,1,21,1,1999,356,0,17,2,1,1
73,1,20,4,7052,73,0,45,2,1,1
27,6,13,1,8882,19,0,34,1,1,0
31,1,18,1,2978,29,0,38,2,1,0
58,1,17,1,6119,70,0,46,1,1,1
70,1,21,1,7377,15,0,27,2,1,1
44,5,19,1,1669,235,0,64,2,1,1
46,7,20,5,1982,2,0,19,1,6,1
42,1,23,5,949,48,0,21,2,1,1
36,2,14,1,4740,28,0,45,2,2,1
24,1,20,5,2435,8,0,26,2,6,0
27,4,21,5,6071,20,6,37,2,1,0
40,6,21,5,2624,1,0,29,1,1,0
35,2,20,3,6889,1,0,47,2,1,1
53,2,22,1,4723,22,2,7,2,1,0
52,1,19,1,5655,77,0,49,1,1,0
42,1,20,1,9512,113,0,45,2,1,0
45,6,20,1,5978,241,0,34,2,1,0
20,1,19,5,2931,25,0,38,2,9,0
49,1,15,1,5873,8,6,38,1,1,1
44,1,18,1,2816,159,0,22,2,2,0
59,8,18,5,664,45,7,54,1,1,0
43,1,17,1,4103,38,0,28,2,1,0
52,2,19,1,2399,74,0,61,2,1,1
32,1,17,5,2596,3,0,50,2,1,0
20,1,19,1,4944,92,3,15,1,1,0
57,4,24,1,959,87,0,41,2,1,0
40,1,22,1,9292,14,0,45,1,1,0
57,1,15,1,6332,2,0,58,1,1,1
41,6,19,3,8471,83,17,37,1,1,0
59,6,22,2,1804,1,0,26,2,1,1
53,3,23,1,2469,137,0,37,1,1,1
59,1,19,1,4519,18,0,53,1,1,1
44,1,21,5,1031,87,0,30,1,6,1
35,6,20,1,1811,455,0,24,2,1,0
64,1,23,3,868,65,0,36,2,1,1
19,1,18,1,3745,33,13,12,2,1,1
48,1,18,5,5088,97,17,26,2,1,0
51,1,16,1,5735,4,3,51,1,6,0
30,1,20,3,5472,133,0,24,2,1,0
26,1,13,5,1253,54,0,25,2,1,0
68,1,22,1,6072,139,0,32,2,1,1
35,6,20,1,6218,90,0,54,2,1,1
20,1,19,5,5668,327,5,36,2,1,0
44,1,21,2,7630,47,0,37,2,1,1
23,7,20,5,3973,21,16,51,1,1,0
41,1,20,5,1187,92,0,33,2,1,0
51,1,22,3,1486,39,12,32,1,1,1
26,1,18,5,8408,292,10,34,2,6,0
64,1,23,1,330,88,0,60,1,1,1
30,5,21,3,3082,20,0,39,2,1,0
25,1,12,5,5145,127,17,55,1,2,0
53,1,20,3,7838,78,0,38,2,1,0
22,1,21,1,8981,24,0,9,2,1,0
41,1,23,1,6570,88,0,55,2,8,1
53,3,16,1,4612,2,0,45,1,1,0
19,1,22,5,5746,27,3,35,2,1,0
39,5,21,3,4106,48,0,18,2,1,0
50,2,17,5,778,40,3,23,1,1,0
58,5,20,3,4785,69,0,21,2,1,0
81,1,22,1,1078,129,1,40,2,1,0
30,1,15,5,7712,20,0,36,1,1,0
34,1,13,5,8633,96,0,52,1,1,1
46,1,22,3,309,142,0,33,2,1,1
36,1,20,5,6337,13,0,48,1,1,0
41,3,23,1,7027,43,0,42,2,1,0
56,5,22,1,3836,197,0,63,2,1,1
43,1,20,1,7912,77,0,38,1,1,0
45,1,24,1,2946,6,0,49,1,9,0
32,1,12,1,7658,199,0,53,2,3,1
42,1,19,5,7461,321,17,39,1,1,0
25,1,22,5,5689,3,0,52,1,1,0
28,5,19,1,6545,14,0,25,1,1,0
29,1,19,5,9111,34,0,30,1,1,1
57,1,12,1,2783,29,0,37,2,1,1
24,1,11,5,6788,15,16,2,1,1,1
19,1,20,1,532,5,16,33,2,1,0
35,4,20,5,7414,11,0,36,1,1,0
26,1,17,5,464,1,0,39,2,1,0
43,1,20,5,59,58,0,55,2,1,1
60,1,21,1,246,6,0,43,1,2,1
61,1,14,4,9735,32,0,30,1,1,0
65,1,18,1,4213,65,0,40,1,8,0
72,1,20,1,6640,5,0,41,2,1,1
36,1,14,1,9027,79,0,47,2,1,1
52,1,20,1,3628,75,0,44,1,1,0
47,1,22,1,4059,64,0,56,1,1,0
18,7,16,5,3250,2,0,38,1,1,0
42,1,17,5,3490,137,0,37,2,1,0
24,2,20,5,7832,1,1,42,2,1,0
19,1,6,5,8735,59,2,26,2,1,0
83,6,23,1,98,211,0,51,1,1,0
64,1,22,5,1107,32,0,50,1,1,1
33,2,24,5,1556,29,1,42,2,1,0
21,1,19,5,6659,34,17,33,2,1,0
74,1,21,1,1929,112,0,51,2,1,0
19,6,20,1,3198,1,14,44,1,1,1
56,3,20,1,4813,54,0,26,2,1,0
65,1,20,1,5329,24,0,8,2,1,0
32,1,18,5,5379,21,0,48,1,1,0
43,1,17,3,4968,90,0,51,2,1,1
26,7,18,5,4741,44,0,39,1,2,0
31,1,13,4,9205,23,0,20,2,2,0
41,1,18,4,2417,94,0,24,2,1,0
23,2,11,5,2907,10,0,60,1,6,1
41,4,15,1,9263,82,0,35,1,2,0
58,3,19,1,6105,34,0,50,1,1,0
45,3,20,1,2270,48,0,32,2,1,0
38,2,20,1,2842,15,0,17,2,1,0
38,1,20,5,782,64,0,27,1,1,1
56,1,22,1,988,385,0,50,2,1,1
39,1,11,1,7692,48,0,47,2,1,0
74,1,14,3,4097,15,0,55,2,9,1
49,1,14,5,7954,37,2,39,2,1,0
42,2,20,5,1603,193,0,56,1,1,0
58,1,18,1,5389,50,0,69,2,1,1
34,1,18,5,3994,101,9,40,2,1,0
25,1,18,5,1976,211,0,45,1,1,1
36,1,19,1,5286,7,0,14,2,1,0
55,5,22,1,5452,554,5,52,2,1,1
74,1,20,5,101,138,0,55,1,1,0
72,6,21,1,3767,17,0,52,2,1,1
32,1,16,1,3858,7,0,48,2,1,1
44,1,19,5,5591,165,0,18,1,1,0
46,1,22,1,3098,5,1,41,1,1,0
72,1,19,1,1884,288,0,43,2,1,1
63,1,18,5,8472,46,0,53,1,1,1
42,4,19,5,4920,13,0,22,1,1,0
25,1,22,5,2747,207,5,22,2,1,0
46,1,14,3,9734,1,1,45,1,1,0
46,1,21,1,55,22,0,2,2,1,0
60,1,16,1,7835,8,0,46,2,1,0
41,1,22,5,6078,63,0,29,2,1,0
32,1,21,1,472,37,0,28,2,6,1
42,1,20,5,3220,52,0,45,2,1,0
27,1,20,1,359,86,0,47,2,1,0
70,1,18,1,1992,3,0,45,2,1,1
52,1,18,1,2332,49,0,25,2,1,0
39,1,19,3,3403,33,0,44,1,1,0
49,1,9,3,9300,20,0,29,1,6,1
54,1,21,1,4001,128,0,34,1,1,0
35,1,18,5,5969,328,0,40,1,1,0
34,1,15,5,2010,22,0,44,1,6,1
35,2,18,1,2740,64,5,43,1,1,1
31,2,15,1,1889,51,0,33,1,1,1
24,1,21,4,6566,18,0,46,2,1,0
33,1,19,1,9032,2,0,41,1,1,0
76,7,22,1,4607,40,0,43,2,1,0
61,7,22,1,2878,19,0,45,1,1,1
31,4,21,5,5067,73,0,18,2,1,0
28,2,15,5,7435,9,0,48,2,1,0
42,1,19,1,2245,190,0,21,2,1,1
21,7,20,1,5739,17,0,42,1,1,0
47,1,21,1,4383,48,0,33,1,1,0
77,1,18,3,3073,145,0,59,1,1,0
38,1,19,3,6770,43,0,23,1,1,0
42,2,16,3,6580,7,1,45,2,2,0
49,1,22,1,898,2,0,62,1,1,0
64,1,16,1,6624,39,0,54,1,6,1
29,1,21,5,4589,14,0,32,1,2,1
41,5,20,5,677,62,0,21,1,1,0
21,4,17,5,7968,15,0,58,1,2,0
39,2,23,5,5566,25,12,39,2,1,0
22,1,19,3,437,40,0,42,2,1,0
21,1,20,5,8367,7,0,32,1,1,0
46,1,20,5,2543,9,17,52,2,1,1
42,1,9,5,9812,78,7,29,2,1,0
55,1,18,1,2084,5,0,43,1,1,0
59,1,17,1,8340,1,0,40,2,8,1
47,3,21,1,3221,87,0,69,2,1,0
57,1,16,5,6190,105,0,36,1,1,0
37,1,16,3,9653,88,0,29,1,1,0
36,4,15,5,2575,71,0,35,1,1,1
47,2,23,1,5295,369,0,58,1,1,1
48,3,17,1,3250,97,3,40,2,1,0
46,7,23,5,37,22,0,44,2,1,0
29,1,23,1,4107,10,0,47,1,1,1
22,1,17,5,7713,87,8,50,1,8,1
24,1,14,1,6181,241,7,51,2,2,1
44,1,18,1,4067,138,0,36,1,6,1
64,2,21,3,4970,169,0,51,2,1,0
26,2,18,1,8737,8,7,19,2,1,0
48,1,22,1,3148,25,0,11,1,1,0
37,1,16,5,4344,63,4,59,1,1,0
73,1,13,4,1511,13,0,42,2,1,1
43,1,22,3,8624,173,0,42,1,1,0
30,1,17,1,6209,2,0,1,2,1,0
51,5,18,1,8115,68,0,29,1,1,1
23,1,16,5,5658,6,2,31,2,1,1
28,1,11,1,5469,197,0,8,2,1,0
60,1,22,1,630,100,0,40,1,1,1
84,2,19,2,2454,24,0,32,2,1,1
41,2,19,1,7099,172,0,48,2,2,1
77,3,14,2,3746,14,0,28,1,1,0
60,1,12,3,6941,101,0,29,1,6,1
18,1,18,5,3287,61,11,41,2,9,1
57,5,18,1,5897,116,0,17,1,8,1
29,1,18,1,7065,142,0,33,1,1,0
53,4,19,1,1396,126,11,37,1,1,1
34,1,22,5,5257,28,17,47,1,2,0
59,1,21,5,1204,1,0,17,1,1,1
43,1,14,5,8932,395,0,47,1,1,0
52,1,13,5,3995,42,3,51,1,2,0
49,1,18,1,5839,83,0,44,2,1,0
57,1,16,1,3030,28,0,60,2,1,0
34,1,22,5,543,144,0,46,1,1,1
62,1,22,1,6982,115,0,54,2,2,1
27,3,22,5,3075,43,6,56,1,1,1
32,1,14,5,7547,4,0,21,1,1,0
24,1,18,5,519,10,0,32,1,6,0
